Array size = 2097152 
Cutoff/Threads,2,4,8,16,32,64
2048,241,212,189,162,142,169
4096,120,112,111,113,115,115
8192,106,111,106,107,110,104
16384,110,104,106,108,261,149
32768,108,102,106,110,111,108
65536,124,117,106,109,100,94
131072,116,106,111,108,88,90
262144,114,177,135,136,127,120
524288,179,257,165,128,101,99
1048576,152,117,90,93,102,90
2097152,112,108,104,101,105,109

Array size = 4194304
Cutoff/Threads,2,4,8,16,32,64
4096,271,269,271,274,298,532
8192,403,382,426,609,374,999
16384,420,288,329,405,481,434
32768,329,275,486,396,391,388
65536,282,320,293,246,244,229
131072,245,244,262,266,270,220
262144,274,396,309,266,195,189
524288,321,559,378,201,191,211
1048576,417,431,297,178,168,200
2097152,369,407,445,323,201,286
4194304,327,451,251,221,227,244

Array size = 8388608
Cutoff/Threads,2,4,8,16,32,64
8192,970,940,796,744,723,650
16384,614,553,566,632,621,624
32768,512,550,592,557,583,558
65536,497,562,546,522,529,497
131072,462,449,467,469,471,473
262144,488,485,473,484,415,417
524288,604,473,512,478,406,392
1048576,494,533,503,420,363,406
2097152,551,610,466,348,404,345
4194304,728,505,367,370,367,381
8388608,451,473,452,441,453,450

Array size = 16777216
Cutoff/Threads,2,4,8,16,32,64,128,256,512,1024
16384,2612,1197,1174,1189,1336,1247
32768,1144,1200,1110,1074,1087,1063
65536,1019,999,1019,1098,1098,1184
131072,880,891,999,896,872,1029
262144,1011,896,884,908,891,889
524288,1087,912,882,969,873,780
1048576,991,987,964,886,750,724
2097152,1026,1035,1005,847,722,729
4194304,1246,1185,934,694,691,690
8388608,1309,1047,736,736,734,737
16777216,966,983,982,969,984,984
